,Unnamed: 0,age,sex,education,marriage,occupation,language,ID
209,209,19,1.0,0.0,1.0,1.0,,LLM210
210,210,20세,0.0,0.0,1.0,3.0,0.0,LLM211
211,211,26,0.0,0.0,0.0,3.0,,LLM212
212,212,35,0.0,2.0,0.0,2.0,0.0,LLM213
213,213,41세,0.0,1.0,2.0,1.0,,LLM214
214,214,34,0.0,3.0,0.0,2.0,,LLM215
215,215,52,0.0,1.0,2.0,1.0,0.0,LLM216
216,216,45,0.0,1.0,2.0,2.0,0.0,LLM217
217,217,30,0.0,1.0,1.0,2.0,0.0,LLM218
218,218,22,0.0,0.0,1.0,3.0,0.0,LLM219
219,219,41,0.0,3.0,0.0,2.0,,LLM220
220,220,만23세,0.0,1.0,1.0,3.0,,LLM221
221,221,46,0.0,1.0,2.0,0.0,,LLM222
222,222,19세,0.0,0.0,0.0,3.0,,LLM223
223,223,33,0.0,1.0,1.0,3.0,,LLM224
224,224,25,0.0,1.0,0.0,0.0,,LLM225
225,225,50,1.0,1.0,2.0,3.0,,LLM226
226,226,29,0.0,2.0,0.0,1.0,,LLM227
227,227,22,0.0,0.0,1.0,1.0,,LLM228
228,228,18,0.0,0.0,0.0,1.0,,LLM229
229,229,52,1.0,1.0,2.0,1.0,,LLM230
230,230,30,0.0,0.0,0.0,1.0,0.0,LLM231
231,231,47,0.0,1.0,2.0,3.0,,LLM232
232,232,25,0.0,1.0,1.0,3.0,,LLM233
233,233,25,0.0,1.0,1.0,3.0,0.0,LLM234
234,234,32,0.0,1.0,0.0,2.0,0.0,LLM235
235,235,21,0.0,0.0,1.0,3.0,,LLM236
236,236,46,1.0,3.0,2.0,2.0,,LLM237
237,237,24,0.0,1.0,1.0,2.0,,LLM238
238,238,32,0.0,1.0,0.0,0.0,,LLM239
239,239,31,0.0,1.0,1.0,1.0,,LLM240
240,240,48,0.0,1.0,2.0,1.0,,LLM241
241,241,47,0.0,1.0,2.0,1.0,,LLM242
242,242,30,0.0,0.0,0.0,3.0,0.0,LLM243
243,243,23,1.0,0.0,0.0,3.0,,LLM244
244,244,26,0.0,1.0,1.0,3.0,,LLM245
245,245,22,0.0,0.0,1.0,3.0,,LLM246
246,246,20,1.0,0.0,1.0,3.0,,LLM247
247,247,46,0.0,1.0,2.0,2.0,0.0,LLM248
248,248,33,0.0,2.0,1.0,1.0,0.0,LLM249
249,249,38,0.0,1.0,2.0,1.0,0.0,LLM250
250,250,28,0.0,1.0,0.0,0.0,0.0,LLM251
